"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Hakeem Valles (FA)","2","3","11","5.5","6","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"Dion Sims (FA)","2","4","9","4.5","9","0","0","0","0","0","0","8","0.9","0.1","0.0%"
"Alan Cross (FA)","2","5","9","4.5","6","0","0","0","0","0","0","14","0.9","0.1","0.0%"
"Richard Rodgers (PHI)","1","1","7","7.0","7","0","0","0","0","0","0","7","0.7","0.1","0.0%"
"Khari Lee (FA)","1","1","5","5.0","5","0","0","0","0","0","0","2","0.5","0.3","0.0%"
"Johnny Mundt (LAR)","1","1","5","5.0","5","0","0","0","0","0","0","10","0.5","0.1","0.0%"
"Alge Crumpler (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ben Patrick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Billy Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brad St. Louis (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Buck Ortega (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Casey Fitzsimmons (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"Daniel Coats (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Darcy Johnson (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Desmond Clark (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ernest Wilford (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Greg Estandia (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jake Nordin (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jason Witten (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.3%"
"Jeff Dugan (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jerramy Stevens (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Joe Klopfenstein (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"John Owens (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jonathan Stupar (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"L.J. Smith (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Michael Gaines (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Robert Royal (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Sean Ryan (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Steve Heiden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Todd Yoder (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tony Curtis (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tony Stewart (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tory Humphrey (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"John Nalbone (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Richard Angulo (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
