"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Hunter Renfrow (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"Alexander Hollins (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Terry Godwin (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Dorian Baker (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jaylen Smith (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tyre Brady (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Andy Isabella (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.8%"
"Felton Davis (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"DaMarkus Lodge (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Emanuel Hall (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"Parris Campbell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.8%"
"Johnnie Dixon (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Terry McLaurin (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"Jonathan Duhart (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Travis Fulgham (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"DeAndre Thompkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jesper Horsted (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Davion Davis (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jon'Vea Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cody Thompson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Keelan Doss (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Gary Jennings (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"David Sills (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Bryant Mitchell (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Greg Dortch (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Mecole Hardman (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.2%"
"Lil'Jordan Humphrey (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jakobi Meyers (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Anthony Ratliff-Williams (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Antoine Wesley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Preston Williams (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"Diontae Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"KeeSean Johnson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"Dillon Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Miles Boykin (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Jazz Ferguson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Damon Sheehy-Guiseppi (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ishmael Hyman (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Juwann Winfree (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Quinton Bell (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Darius Slayton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"Olabisi Johnson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Scott Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"Marcus Green (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"John Ursua (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Nick Easley (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Trenton Irwin (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ryan Davis (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Xavier Ubosi (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Stephen Carlson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Raphael Leonard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Michael Walker (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dredrick Snelson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Penny Hart (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Jeff Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Stephen Louis (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tyron Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kelvin McKnight (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Trinity Benson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jamal Curtis (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Joe Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cortrelle Simpson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"CJ Worton (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Olamide Zaccheaus (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Kahlil Lewis (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Shawn Bane (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Deonte Harris (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Malik Henry (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Alex Bachman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Nsimba Webster (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Romell Guerrier (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jason Moore (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jalen Guyton (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Alex Wesley (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Reggie White (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"T.J. Rahming (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Steven Sims (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Spencer Schnell (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Johnathan Lloyd (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"DJ Montgomery (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Sean Modster (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Terry Wright (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Thomas Ives (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Darrius Shepherd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Brian Burt (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ventell Bryant (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Damion Willis (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Joe Parker (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Joe Horn Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Floyd Allen (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Gunner Olszewski (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Fred Trevillion (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Damion Jeanpiere Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marcus Simms (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"J'Mon Moore (GB)","2","3","15","7.5","10","0","0","0","0","0","1","12","-0.5","-0.0","0.3%"
"Rod Streater (FA)","0","0","0","0","0","0","0","1","-11","0","0","3","-1.1","-0.4","0.0%"
"J.J. Jones (NYJ)","1","1","3","3.0","3","0","0","1","0","0","1","4","-1.7","-0.4","0.0%"
"Kaelin Clay (FA)","0","0","0","0","0","0","0","0","0","0","1","2","-2.0","-1.0","0.0%"
"JoJo Natson (LAR)","0","0","0","0","0","0","0","0","0","0","1","13","-2.0","-0.2","0.1%"
"Riley McCarron (FA)","0","1","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","0.0%"
""
""
