"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Joey Galloway (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"John Standeford (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jonathan Holland (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jordan Kent (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Josh Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Juaquin Iglesias (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Justin Jenkins (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Keenan Burton (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kelley Washington (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Lance Long (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Laveranues Coles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mark Bradley (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mark Jones (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marty Booker (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Matt Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mike Wallace (FA)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.4%"
"Muhsin Muhammad (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Reggie Brown (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Reggie Williams (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ronald Curry (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Sam Aiken (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Sean Morey (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Shaun McDonald (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tim Carter (STL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Todd Watkins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Torry Holt (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Troy Williamson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tyler Grisham (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Wallace Wright (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Yamon Figurs (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Roydell Williams (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dominique Edison (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Patrick Williams (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Gary Banks (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Onrea Jones (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jeremy Williams (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dominique Zeigler (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Verran Tucker (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brandon James (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Duke Calhoun (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Taj Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Andy Fantuz (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Scotty McKnight (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
