"Rank","Player","Team","Points","Games","Avg"
"151","Alex Armah","CAR","0.0","1","0.0"
"151","Jeremy McNichols","TEN","0.0","1","0.0"
"151","Daniel Lasco","FA","0.0","1","0.0"
"151","Marquez Williams","FA","0.0","1","0.0"
"151","C.J. Spiller","FA","0.0","1","0.0"
"152","Darren McFadden","FA","-0.2","1","-0.2"
"152","Bronson Hill","FA","-0.2","2","-0.1"
"153","Devante Mays","FA","-1.9","2","-1.0"
""
""
