"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"David Williams (FA)","8","36","4.5","15","0","0","0","0","0","0","0","0","6","3.6","0.6","0.0%"
"Tyler Ervin (BAL)","0","0","0","0","0","0","3","4","35","11.7","0","0","9","3.5","0.4","0.0%"
"Shaun Wilson (TB)","6","29","4.8","9","0","0","3","5","5","1.7","0","0","5","3.4","0.7","0.0%"
"Mike Gillislee (FA)","16","43","2.7","5","0","0","1","1","9","9.0","0","1","4","3.2","0.8","0.1%"
"Jeremy Hill (FA)","4","25","6.3","11","0","0","1","1","6","6.0","0","0","1","3.1","3.1","0.3%"
"Benny Cunningham (JAC)","11","20","1.8","6","0","0","1","2","9","9.0","0","0","15","2.9","0.2","0.1%"
"Jeremy Langford (FA)","9","25","2.8","7","0","0","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"Keith Smith (OAK)","1","0","0.0","0","0","0","5","7","23","4.6","0","0","16","2.3","0.1","0.0%"
"Travaris Cadet (FA)","11","17","1.5","5","0","0","1","1","5","5.0","0","0","1","2.2","2.2","0.0%"
"De'Lance Turner (BAL)","1","4","4.0","4","0","0","2","2","17","8.5","0","0","4","2.1","0.5","0.0%"
"Derrick Coleman (FA)","2","3","1.5","2","0","0","2","3","17","8.5","0","0","16","2.0","0.1","0.0%"
"C.J. Prosise (SEA)","1","-3","-3.0","0","0","0","3","3","22","7.3","0","0","5","1.9","0.4","0.2%"
"Justin Davis (LAR)","2","19","9.5","19","0","0","0","0","0","0","0","0","11","1.9","0.2","0.1%"
"Jonathan Stewart (FA)","6","17","2.8","5","0","0","0","0","0","0","0","0","3","1.7","0.6","0.1%"
"David Fluellen (TEN)","4","16","4.0","13","0","0","0","0","0","0","0","0","7","1.6","0.2","0.0%"
"Darius Jackson (DAL)","6","16","2.7","4","0","0","0","1","0","0","0","0","4","1.6","0.4","0.1%"
"Brandon Wilds (FA)","6","15","2.5","5","0","0","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"Jamaal Charles (FA)","6","7","1.2","5","0","0","2","3","7","3.5","0","0","2","1.4","0.7","0.1%"
"Jamize Olawale (DAL)","0","0","0","0","0","0","2","4","13","6.5","0","0","16","1.3","0.1","0.0%"
"Derek Watt (LAC)","4","11","2.8","8","0","0","1","1","2","2.0","0","0","16","1.3","0.1","0.1%"
"Ricky Ortiz (ATL)","0","0","0","0","0","0","3","4","11","3.7","0","0","12","1.1","0.1","0.0%"
"Christine Michael (FA)","2","9","4.5","8","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"Ameer Abdullah (MIN)","1","1","1.0","1","0","0","3","4","28","9.3","0","1","10","0.9","0.1","0.3%"
"Robert Kelley (FA)","4","8","2.0","6","0","0","0","0","0","0","0","0","2","0.8","0.4","0.1%"
"J.D. McKissic (SEA)","3","8","2.7","6","0","0","0","1","0","0","0","0","5","0.8","0.2","0.2%"
