"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"Tre Watson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Alec Ingold (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Darrell Henderson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.0%"
"Jordan Scarlett (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"Rodney Anderson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"Benny Snell Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"Travis Homer (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"Damarea Crockett (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Mike Weber (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"Darwin Thompson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"Alexander Mattison (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.3%"
"Karan Higdon (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"Kerrith Whyte (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Alex Barnes (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Darrin Hall (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Matt Colburn (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Devine Ozigbo (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"Christian Wade (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jakob Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Valentine Holmes (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chandler Cox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cullen Gillaspia (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tony Pollard (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"Marcus Green (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Bruce Anderson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"Trayone Gray (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"George Aston (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Devontae Jackson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Khari Blasingame (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Olamide Zaccheaus (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dontae Strickland (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Xavier Turner (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jeremy Cox (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jonathan Hilliman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Austin Walter (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Marcus Marshall (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tony Brooks-James (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Craig Reynolds (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jordan Ellis (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Marcelias Sutton (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Josh Caldwell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"De'Angelo Henderson (NYJ)","2","19","9.5","13","0","0","0","0","0","0","0","1","2","-0.1","-0.1","0.1%"
"Robert Turbin (FA)","4","10","2.5","5","0","0","1","2","3","3.0","0","1","2","-0.7","-0.4","0.1%"
""
""
