"Rank","Player","Team","Position","Points","Games","Avg"
"234","Kerwynn Williams","FA","RB","57.9","16","3.6"
"235","T.J. Yeldon","BUF","RB","57.7","10","5.8"
"236","Garrett Celek","SF","TE","57.6","13","4.4"
"237","Connor Barth","FA","K","57.0","10","5.7"
"238","Julius Thomas","FA","TE","56.8","14","4.1"
"239","Trey Burton","CHI","TE","56.8","14","4.1"
"240","Cole Beasley","BUF","WR","55.4","15","3.7"
"241","Jesse James","DET","TE","55.2","14","3.9"
"242","Cordarrelle Patterson","CHI","WR","55.0","16","3.4"
"243","Torrey Smith","CAR","WR","54.7","16","3.4"
"244","Dalvin Cook","MIN","RB","54.4","4","13.6"
"245","Mike Nugent","FA","K","54.0","8","6.8"
"246","Roger Lewis","FA","WR","53.6","15","3.6"
"247","Jason Myers","SEA","K","53.0","6","8.8"
"248","Trent Taylor","SF","WR","53.0","15","3.5"
"248","Bennie Fowler","NYG","WR","53.0","15","3.5"
"249","Austin Seferian-Jenkins","FA","TE","51.7","13","4.0"
"250","Donte Moncrief","PIT","WR","51.1","12","4.3"
"251","D'Onta Foreman","HOU","RB","51.0","9","5.7"
"252","DeAndre Washington","OAK","RB","51.0","15","3.4"
"253","Brandon Coleman","FA","WR","50.8","15","3.4"
"254","Tom Savage","DET","QB","50.7","8","6.3"
"255","Drew Stanton","CLE","QB","50.3","5","10.1"
"256","Pierre Garcon","FA","WR","50.0","8","6.3"
"257","Ed Dickson","SEA","TE","49.7","14","3.6"
"257","Brice Butler","MIA","WR","49.7","12","4.1"
"258","Antonio Gates","FA","TE","49.6","16","3.1"
"259","Odell Beckham Jr.","CLE","WR","49.0","4","12.3"
"260","John Brown","BUF","WR","48.9","10","4.9"
"261","Taylor Gabriel","CHI","WR","48.7","16","3.0"
"262","Andre Ellington","TB","RB","48.4","11","4.4"
"263","Chris Moore","BAL","WR","47.9","12","4.0"
"263","TJ Jones","FA","WR","47.9","13","3.7"
"264","Seth Roberts","BAL","WR","47.5","15","3.2"
"265","Bruce Ellington","FA","WR","46.7","11","4.2"
"266","Charcandrick West","FA","RB","46.2","12","3.9"
"267","Nick Novak","FA","K","46.0","7","6.6"
"268","Jamaal Charles","FA","RB","44.5","13","3.4"
"269","Josh Bellamy","NYJ","WR","44.2","11","4.0"
"269","Jermaine Gresham","FA","TE","44.2","14","3.2"
"270","Zay Jones","BUF","WR","43.6","14","3.1"
"271","Seth DeValve","CLE","TE","43.5","16","2.7"
"272","Cody Latimer","NYG","WR","42.7","11","3.9"
"273","Corey Coleman","NYG","WR","42.5","9","4.7"
"274","Tavarres King","FA","WR","42.3","8","5.3"
"275","Nick O'Leary","MIA","TE","42.2","13","3.2"
"276","Rashard Higgins","CLE","WR","41.6","14","3.0"
"277","Coby Fleener","FA","TE","41.5","11","3.8"
"278","Matt Moore","FA","QB","41.3","4","10.3"
"279","Dontrelle Inman","NE","WR","40.3","10","4.0"
"280","Stephen Anderson","NE","TE","40.2","14","2.9"
"281","Justin Hardy","ATL","WR","40.1","10","4.0"
"282","Dede Westbrook","JAC","WR","39.9","7","5.7"
"283","Shane Vereen","FA","RB","39.7","16","2.5"
"284","Damien Williams","KC","RB","39.6","10","4.0"
"285","Josh Gordon","NE","WR","39.5","5","7.9"
"286","Luke Willson","OAK","TE","39.3","13","3.0"
"287","Robert Kelley","FA","RB","39.2","7","5.6"
"288","Corey Grant","FA","RB","38.9","14","2.8"
"289","Charles Sims","FA","RB","38.4","15","2.6"
"290","Ricky Seals-Jones","ARI","TE","38.1","8","4.8"
"291","Aldrick Robinson","CAR","WR","38.0","14","2.7"
"292","Jacquizz Rodgers","FA","RB","37.8","16","2.4"
"293","Kenny Britt","FA","WR","37.6","12","3.1"
"294","Alfred Blue","JAC","RB","37.6","9","4.2"
