"Rank","Player","Team","Position","Points","Games","Avg"
"476","De'Veon Smith","FA","RB","2.7","1","2.7"
"476","AJ McCarron","HOU","QB","2.7","2","1.4"
"477","Ryan Switzer","PIT","WR","2.6","16","0.2"
"477","Jordan Leslie","FA","WR","2.6","1","2.6"
"477","Keith Smith","OAK","RB","2.6","9","0.3"
"477","Patrick DiMarco","BUF","RB","2.6","9","0.3"
"478","Darrell Daniels","ARI","TE","2.6","7","0.4"
"479","Andre Williams","FA","RB","2.5","2","1.3"
"479","Antony Auclair","TB","TE","2.5","3","0.8"
"479","Chris Matthews","FA","WR","2.5","4","0.6"
"479","Marcus Johnson","IND","WR","2.5","6","0.4"
"479","Geoff Swaim","JAC","TE","2.5","2","1.3"
"480","MarQueis Gray","FA","TE","2.4","7","0.3"
"481","DeAndrew White","CAR","WR","2.4","2","1.2"
"482","Matt Cassel","FA","QB","2.4","2","1.2"
"483","Ryan Hewitt","TEN","RB","2.2","5","0.4"
"484","Josh Ferguson","HOU","RB","2.1","4","0.5"
"484","David Fluellen","TEN","RB","2.1","7","0.3"
"485","Bobby Rainey","FA","RB","2.0","4","0.5"
"486","Dan Vitale","GB","RB","1.9","9","0.2"
"487","Jehu Chesson","WAS","WR","1.8","5","0.4"
"488","Chris Manhertz","CAR","TE","1.7","3","0.6"
"489","Michael Burton","NO","RB","1.7","8","0.2"
"489","Allen Robinson","CHI","WR","1.7","1","1.7"
"490","Cole Hikutini","MIN","TE","1.5","2","0.8"
"491","Matt Jones","FA","RB","1.4","2","0.7"
"492","Cooper Rush","DAL","QB","1.4","2","0.7"
"492","LeShun Daniels","FA","RB","1.4","2","0.7"
"493","Darius Powe","FA","WR","1.3","1","1.3"
"493","Scott Tolzien","FA","QB","1.3","1","1.3"
"494","Jeff Janis","FA","WR","1.2","7","0.2"
"494","Arrelious Benn","FA","WR","1.2","4","0.3"
"495","Shelton Gibson","PHI","WR","1.1","2","0.6"
"495","Taiwan Jones","HOU","RB","1.1","5","0.2"
"496","Raheem Mostert","SF","RB","1.0","9","0.1"
"496","Marshall Koehn","FA","K","1.0","1","1.0"
"497","Terrell Watson","FA","RB","0.8","7","0.1"
"497","Cobi Hamilton","FA","WR","0.8","2","0.4"
"497","Harry Douglas","FA","WR","0.8","1","0.8"
"498","Kevin White","ARI","WR","0.6","1","0.6"
"498","Taylor Heinicke","CAR","QB","0.6","1","0.6"
"499","Eric Weems","FA","WR","0.5","11","0.0"
"499","Larry Pinkard","FA","WR","0.5","2","0.3"
"500","Derek Anderson","FA","QB","0.5","3","0.2"
"501","Garrett Griffin","NO","TE","0.4","2","0.2"
"501","Max McCaffrey","SF","WR","0.4","2","0.2"
"501","Joe Callahan","FA","QB","0.4","1","0.4"
"502","Charone Peake","NYJ","WR","0.3","1","0.3"
"502","Joe Kerridge","FA","RB","0.3","1","0.3"
"502","Ryan Malleck","FA","TE","0.3","1","0.3"
"503","Jeff Cumberland","FA","TE","0.2","3","0.1"
"503","John Kuhn","FA","RB","0.2","1","0.2"
"504","Matt Hazel","FA","WR","0.1","2","0.1"
"504","Justin Davis","LAR","RB","0.1","1","0.1"
"505","Marquez Williams","FA","RB","0.0","1","0.0"
"505","K.J. Brent","TB","WR","0.0","1","0.0"
"505","Gabe Holmes","IND","TE","0.0","1","0.0"
"505","Jason Vander Laan","CAR","TE","0.0","2","0.0"
"505","Jeremy McNichols","TEN","RB","0.0","1","0.0"
"505","Andy Jones","DET","WR","0.0","1","0.0"
"505","John Phillips","FA","TE","0.0","1","0.0"
"505","Isaac Whitney","HOU","WR","0.0","1","0.0"
"505","Marquis Bundy","FA","WR","0.0","1","0.0"
"505","Taysom Hill","NO","QB","0.0","3","0.0"
"505","Ed Eagan","FA","WR","0.0","4","0.0"
"505","Eric Saubert","ATL","TE","0.0","1","0.0"
"505","Dwayne Harris","OAK","WR","0.0","5","0.0"
"505","Cody Core","CIN","WR","0.0","5","0.0"
"505","","","","0.0","1","0.0"
"505","Victor Bolden Jr.","BUF","WR","0.0","8","0.0"
"505","Jordan Todman","FA","RB","0.0","8","0.0"
"505","Logan Paulsen","ATL","TE","0.0","2","0.0"
"505","Justin Hardee","NO","WR","0.0","7","0.0"
"505","Krishawn Hogan","IND","WR","0.0","2","0.0"
"505","Henry Krieger Coble","FA","TE","0.0","1","0.0"
"505","Cethan Carter","CIN","TE","0.0","6","0.0"
"505","","","","0.0","2","0.0"
"505","Stacy Coley","FA","WR","0.0","2","0.0"
"505","Matt LaCosse","NE","TE","0.0","1","0.0"
"505","C.J. Spiller","FA","RB","0.0","1","0.0"
"505","Alex Armah","CAR","RB","0.0","1","0.0"
"505","Shane Smith","FA","RB","0.0","4","0.0"
"505","Brandon Wilson","CIN","RB","0.0","3","0.0"
"505","Brandon Banks","FA","WR","0.0","1","0.0"
"505","","","","0.0","2","0.0"
"505","Daniel Lasco","FA","RB","0.0","1","0.0"
"505","Ben Braunecker","CHI","TE","0.0","4","0.0"
"505","Matt Slater","NE","WR","0.0","6","0.0"
"505","Kyle Nelson","SF","TE","0.0","1","0.0"
"505","Griff Whalen","FA","WR","0.0","2","0.0"
"505","Jace Billingsley","FA","WR","0.0","1","0.0"
"506","Austin Davis","FA","QB","-0.1","1","-0.1"
"507","Chase Daniel","CHI","QB","-0.2","1","-0.2"
"507","Darren McFadden","FA","RB","-0.2","1","-0.2"
"507","Bronson Hill","FA","RB","-0.2","2","-0.1"
"508","Chad Henne","KC","QB","-0.5","2","-0.3"
"509","Isaiah McKenzie","BUF","WR","-0.7","11","-0.1"
"510","Andre Roberts","BUF","WR","-0.8","16","-0.1"
"510","John Ross","CIN","WR","-0.8","3","-0.3"
"511","Kalif Raymond","TEN","WR","-0.9","8","-0.1"
"512","Jake Rudock","MIA","QB","-1.0","2","-0.5"
"513","Kellen Clemens","FA","QB","-1.1","3","-0.4"
"514","Devante Mays","FA","RB","-1.9","2","-1.0"
"515","Tyler Bray","CHI","QB","-2.0","1","-2.0"
"516","Teddy Bridgewater","NO","QB","-2.3","1","-2.3"
""
""
