"Rank","Player","Team","Points","Games","Avg"
"120","Demarcus Robinson","KC","21.2","10","2.1"
"121","Phillip Dorsett","NE","20.1","10","2.0"
"122","Laquon Treadwell","MIN","20.0","13","1.5"
"123","Eli Rogers","PIT","18.9","12","1.6"
"124","Louis Murphy","FA","18.1","6","3.0"
"125","Curtis Samuel","CAR","17.9","8","2.2"
"126","Chris Conley","JAC","17.5","5","3.5"
"127","","","17.4","2","8.7"
"128","Tommylee Lewis","DET","17.0","14","1.2"
"129","Josh Reynolds","LAR","16.4","10","1.6"
"130","Jaydon Mickens","FA","15.7","10","1.6"
"131","Brandon Marshall","FA","15.4","5","3.1"
"132","Tre McBride","JAC","14.4","5","2.9"
"133","Jordan Taylor","MIN","14.2","10","1.4"
"134","Brandon Tate","FA","14.1","13","1.1"
"135","Darrius Heyward-Bey","FA","13.9","9","1.5"
"136","Kamar Aiken","FA","13.3","13","1.0"
"137","Brenton Bersin","FA","12.8","6","2.1"
"138","Josh Malone","CIN","12.5","9","1.4"
"139","Maurice Harris","NE","12.2","4","3.1"
"140","Marvin Hall","CHI","12.0","6","2.0"
"141","Hunter Sharp","CIN","11.4","3","3.8"
"142","ArDarius Stewart","FA","10.9","12","0.9"
"143","Travis Rudolph","FA","10.1","6","1.7"
"144","Jaelen Strong","CLE","9.8","2","4.9"
"145","Freddie Martino","FA","9.6","7","1.4"
"146","Mike Williams","LAC","9.5","9","1.1"
"147","Chad Hansen","NO","9.4","8","1.2"
"148","Mike Thomas","LAR","9.3","5","1.9"
"149","Kaelin Clay","FA","9.2","13","0.7"
"150","Bobo Wilson","TB","8.6","3","2.9"
"151","Chris Thompson","FA","8.4","12","0.7"
"152","Kasen Williams","FA","8.4","6","1.4"
"153","Justin Hunter","FA","8.3","5","1.7"
"154","Trevor Davis","GB","8.3","15","0.6"
"155","Michael Floyd","BAL","7.8","10","0.8"
"156","Breshad Perriman","TB","7.7","11","0.7"
"157","Brian Quick","WAS","7.6","6","1.3"
"158","Tanner McEvoy","FA","7.3","9","0.8"
"159","Willie Snead","BAL","7.2","8","0.9"
"160","Amara Darboh","SEA","7.1","8","0.9"
"161","Pharoh Cooper","ARI","7.0","16","0.4"
"161","Brittan Golden","NYG","7.0","9","0.8"
"161","Sammie Coates","FA","7.0","7","1.0"
"162","Leonte Carroo","FA","6.9","4","1.7"
"163","Bryce Treggs","FA","6.5","6","1.1"
"164","Chad Williams","ARI","6.4","5","1.3"
"165","Vince Mayle","LAC","6.2","11","0.6"
"166","Markus Wheaton","FA","4.6","7","0.7"
"167","Jared Abbrederis","FA","4.4","4","1.1"
"168","Michael Clark","FA","4.1","2","2.1"
"169","Quan Bray","FA","3.9","9","0.4"
"170","Bernard Reedy","FA","3.8","11","0.3"
"171","Tanner Gentry","CHI","3.5","4","0.9"
"172","Noah Brown","DAL","3.3","7","0.5"
"172","JoJo Natson","LAR","3.3","7","0.5"
"173","Nick Williams","FA","3.0","1","3.0"
